account_id,customer_id,account_type,balance,currency,account_state
710000002,700000001,CHEQUING,1000.00,CAD,ACTIVE
710000001,700000001,SAVINGS,2000.00,CAD,ACTIVE
710000004,700000002,CHEQUING,1000.00,CAD,ACTIVE
710000003,700000002,SAVINGS,2000.00,CAD,ACTIVE
710000005,700000003,CHEQUING,1000.00,CAD,ACTIVE
710000006,700000003,SAVINGS,2000.00,CAD,ACTIVE
710000007,700000005,CHEQUING,1000.00,CAD,ACTIVE
710000009,700000005,SAVINGS,2000.00,CAD,ACTIVE
710000010,700000007,CHEQUING,1000.00,CAD,ACTIVE
710000008,700000007,SAVINGS,2000.00,CAD,ACTIVE
